claim_number,age_of_driver,safty_rating,annual_income,living_status,vehicle_category,vehicle_price,fraud
15474,55,82,40065,Rent,Large,46191.4997,1
20972,29,34,33670,Rent,Large,18166.25089,0
27000,33,93,34974,Own,Large,16125.05635,0
27275,51,77,39310,Own,Medium,28518.946410000004,0
18966,42,47,37384,Own,Medium,12509.0333,0
20106,58,88,40589,Own,Compact,28419.91297,0
28815,36,81,35842,Rent,Medium,24780.25085,1
6148,54,80,39890,Rent,Compact,39703.10495,1
3579,35,69,35539,Own,Compact,18078.61805,0
9840,34,29,35260,Own,Compact,25000.79498,1
23883,48,95,38694,Own,Large,9869.343664,0
8478,23,47,31354,Rent,Compact,30754.04215,0
18114,37,76,36109,Own,Compact,26828.22952,0
19799,65,83,41730,Own,Compact,11427.09439,0
20028,56,80,40260,Rent,Medium,33635.922569999995,0
4409,50,49,39115,Rent,Compact,14660.76339,0
22442,32,77,34648,Own,Medium,4810.269126,0
10849,58,69,40622,Rent,Compact,13876.88712,0
20039,34,66,35272,Rent,Compact,14211.26948,0
20785,57,46,40412,Own,Medium,10197.48217,0
545,48,79,38719,Own,Medium,22176.24827,0
9461,56,77,40238,Rent,Large,18357.23185,0
6408,33,67,34948,Rent,Large,16788.02313,0
837,32,88,34675,Own,Large,24109.48799,0
8852,57,83,40424,Rent,Medium,26564.2923,0
10854,38,81,36370,Own,Compact,12925.1955,1
22452,51,54,39325,Rent,Medium,23787.70788,0
15161,57,79,40444,Own,Medium,22958.58922,1
23980,46,69,38277,Own,Large,24191.91476,0
5579,31,80,34335,Own,Medium,31720.35378,1
14364,44,70,37851,Own,Large,11603.11105,0
11197,37,84,36092,Own,Compact,15944.45242,0
8069,40,73,36906,Rent,Large,31058.94568,0
7814,46,95,38283,Own,Medium,12294.933,1
22884,38,77,36379,Rent,Medium,29719.23195,0
17888,43,86,37616,Own,Medium,21165.893180000003,0
18279,44,78,37848,Own,Medium,26147.78505,0
4014,27,80,32956,Rent,Medium,30899.44337,0
16189,40,56,36885,Rent,Large,21989.49436,0
